categoria,categoria_amplia
Games -- Latin America -- Dictionaries.,No es categoria
Latin America -- Social life and customs -- Dictionaries.,Sociología
Business enterprises,Economía
"Chaco War, 1932-1935",Historia
"Carlos Casado, S.A.",No es categoria
Toba Indians,No es categoria
Missions,No es categoria
Pilaga Indians,No es categoria
Franciscans,No es categoria
Mocoví Indians,No es categoria
Commerce,Economía
Maneuvers,No es categoria
Argentina,No es categoria
Argentina. Ejército,No es categoria
Misión Indígena Nuestro Padre San Fransico de Asís del Laishí (Argentina),No es categoria
"Rosario (Santa Fe, Argentina) -- Intellectual life -- 21st century",No es categoria
Argentina -- Intellectual life -- 21st century,No es categoria
Argentina -- Civilization -- 1955-,No es categoria
Entertainers,No es categoria
Automobile racing drivers,No es categoria
Automobile racing,Deportes
Formula One automobiles,No es categoria
Paleontologists,No es categoria
Argentine Aurthors,No es categoria
"Mora, Lola, -- 1867-1936.",No es categoria
Sculptors -- Argentina -- 20th century -- Biography.,Biografía / Autobiografía / Memorias
"Piazzolla, Astor.",No es categoria
Composers -- Argentina -- Biography.,Biografía / Autobiografía / Memorias
"Merello, Tita, -- 1904-2002.",No es categoria
Actors -- Argentina -- Biography.,Biografía / Autobiografía / Memorias
"Storni, Alfonsina, -- 1892-1938.",No es categoria
"Discépolo, Enrique Santos, -- 1901-1951.",No es categoria
"Poets, Argentine -- 20th century -- Biography.",Biografía / Autobiografía / Memorias
"Newbery, Jorge Alejandro, -- 1875-1914",No es categoria
Air pilots -- Argentina -- Biography,Biografía / Autobiografía / Memorias
Language Arts / Linguistics / Literacy,Lengua / Lingüística
"Storni, Alfonsina, 1892-1938.",No es categoria
Latin American essays,Ensayo
America -- Politics and government -- 21st century,Política
America -- Civilization -- 21st century,No es categoria
Protection,No es categoria
Christianity and politics,Religión
Church and social problems,Religión
Political refugees,No es categoria
Priests,No es categoria
Dirty War (Argentina : 1976-1983) fast (OCoLC)fst01352711 (uri) http://id.worldcat.org/fast/fst01352711,Historia
Peronism,Política
JP Lealtad (Organization : Argentina),No es categoria
Montoneros Soldados de Perón (Organization : Argentina),No es categoria
Organización Montoneros (Argentina),No es categoria
Trees -- Argentina.,No es categoria
Catholic Church and philosophy,Religión
Christian life,Religión
Catholic authors,No es categoria
Doctrines,Religión
Doctrinal Theology,Religión
Popes,No es categoria
Graphic Novels - General,Ficción
Comics & Graphic Novels,Ficción
Graphic Novels,Ficción
Motion pictures -- Argentina.,Arte
Soccer.,Deportes
"Argentine wit and humor, Pictorial.",No es categoria
Humorous,No es categoria
Form - Comic Strips & Cartoons,No es categoria
Graphic Satire And Humor,No es categoria
Form - Cartoons & Comics,No es categoria
Comics & Cartoons,No es categoria
Animal behavior.,No es categoria
Indians of South America -- Argentina -- San Juan (Province) -- Antiquities.,Historia
Indians of South America -- Material culture -- Argentina -- San Juan (Province),Historia
San Juan (Argentina : Province) -- Antiquities.,Historia
Physiological Psychology,Psicología
"Masotta, Oscar",No es categoria
Movements - Psychoanalysis,Psicología
Psychoanalysis,Psicología
Spain,No es categoria
Slang,Lengua / Lingüística
Provincialisms,Lengua / Lingüística
Composers,No es categoria
Chronology,No es categoria
Musicians,No es categoria
Tango (Dance),Arte
Academia Porteña del Lunfardo,No es categoria
Spanish language -- Slang -- Argentina -- Buenos Aires -- Dictionaries,Lengua / Lingüística
Spanish language -- Provincialisms -- Argentina -- Buenos Aires -- Dictionaries,Lengua / Lingüística
Inspiration & Personal Growth,No es categoria
"Falkland Islands War, 1982 -- Sources.",Historia
Health,Salud
"Peron, Juan Domingo",No es categoria
Children's fiction,Infantil / Juvenil
Libros ilustrados para niños,Infantil / Juvenil
Foreign Language Study - General,Lengua / Lingüística
Poetas peruanos (Hidalgo),No es categoria
Poesía peruana,Poesía
Latin American Experimental poetry,Poesía
Spanish National characteristics,No es categoria
Sephardim in literature,No es categoria
Judaism,Religión
"Vietnam War, 1961-1975",Historia
Chinese poetry -- Translations into Spanish.,Poesía
Horror tales.,Ficción
"China -- History -- Qin dynasty, 221-207 B.C. -- Fiction.",Ficción
Adversaries,No es categoria
Enemies,No es categoria
Wars of Independence (South America : 1806-1830) fast (OCoLC)fst01355310 (uri) http://id.worldcat.org/fast/fst01355310,Historia
Diseases and history,No es categoria
Diseases,No es categoria
Adult children living with parents,No es categoria
Pimps,No es categoria
Boxers (Sports),Deportes
Mafiosi,No es categoria
"Abnormalities, Human",No es categoria
Freak shows,No es categoria
Monsters,No es categoria
Children's 4-8 - Fiction - Historical,Infantil / Juvenil
Preschool Nursery Rhymes / Poetry,Infantil / Juvenil
Concepts - Opposites,No es categoria
Juvenile Fiction / Ethnic / Hispanic & Latino,Infantil / Juvenil
Social Issues - Friendship,No es categoria
Fairy Tales & Folklore - Anthologies,No es categoria
People & Places - United States - Hispanic/Latino,No es categoria
Spanish: Preschool,Educación
Nature,No es categoria
Juvenile Poetry,Infantil / Juvenil
Imagination & Play,No es categoria
Juvenile Fiction / Imagination & Play,Infantil / Juvenil
Sky,No es categoria
Family - Parents,No es categoria
Juvenile Fiction / Family / Parents,Infantil / Juvenil
History & Surveys - Modern,Filosofía
Contributions in the philosophy of language,Filosofía
"Nietzsche, Friedrich Wilhelm",No es categoria
Collective behavior,No es categoria
Hermeneutics,Filosofía
"Philosophy, European",Filosofía
Media Studies,Comunicación
Left-wing extremists,No es categoria
Nationalism and socialism,Política
"Bayer, Osvaldo.",No es categoria
"Bayer, Osvaldo -- Political and social views.",Política
Argentina -- Politics and government -- 1955-1983.,Política
Argentina -- Politics and government -- 1983-2002.,Política
"Mariátegui, José Carlos, -- 1894-1930",No es categoria
Socialism -- Latin America,Política
"Cooke, John William.",No es categoria
"Guevara, Ernesto, 1928-1967 -- Friends and associates.",No es categoria
"Cooke, John William -- Bibliography.",No es categoria
Peronism.,Política
Nationalism -- Argentina -- History -- 20th century.,Política
Communism -- Argentina -- History -- 20th century.,Política
Argentina -- Politics and government -- 1943-1955.,Política
Public Policy - Economic Policy,Política
New Age / Parapsychology,No es categoria
Murcia (Spain : Region) -- Poetry.,Poesía
Wit and humor,No es categoria
Universidad Nacional de Luján -- History,Educación
Catholic Church -- Argentina -- History -- 20th century.,Religión
Church and state -- Catholic Church.,Religión
Church and state -- Argentina -- History -- 20th century.,Religión
Argentina -- Church history -- 20th century.,Religión
Argentina -- Armed Forces -- Political activity.,Política
Disappeared persons -- Argentina -- Congresses.,No es categoria
Military government -- Argentina -- Congresses.,Historia
Political persecution -- Argentina -- Congresses.,No es categoria
Human rights -- Argentina -- History -- 20th century -- Congresses.,Derecho
Argentina -- Politics and government -- 1955-1983 -- Congresses.,Política
Administrative Law & Regulatory Practice,Derecho
Legal Reference / Law Profession,Derecho
Discoveries in science,Ciencia
Découvertes scientifiques,Ciencia
Descubrimientos científicos,Ciencia
Obras de divulgación,Ciencia
Science,Ciencia
Ciencia,Ciencia
Science -- Miscellanea.,Ciencia
Ciencia -- Miscelánea.,Ciencia
Curiosities and wonders.,No es categoria
Curiosidades y maravillas.,No es categoria
Fraud in science.,No es categoria
Scientists -- Argentina -- Interviews,Biografía / Autobiografía / Memorias
Science -- Anecdotes,Ciencia
Socialists,No es categoria
Sugarcane industry,Economía
Family-owned business enterprises,Economía
"Argentina, economic conditions",Economía
Musicians -- Argentina -- Fiction.,Ficción
Argentines -- Spain -- Fiction.,Ficción
"Muchnik, Mario, -- 1931-",No es categoria
Publishers and publishing -- Spain -- Biography,Biografía / Autobiografía / Memorias
"Muchnik, Mario, 1931-",No es categoria
Editors -- Spain -- Biography,Biografía / Autobiografía / Memorias
Human figure in art,Arte
Middle class,Sociología
Armut,No es categoria
Mittelstand,No es categoria
Moral conditions,No es categoria
Argentine National characteristics,No es categoria
Unassigned Title,No es categoria
"Videla, Jorge Rafael",No es categoria
1925-,No es categoria
1955-1983,No es categoria
"Videla, Jorge Rafael,",No es categoria
Islands,No es categoria
Fundación Konex,No es categoria
Awards,No es categoria
Premio Konex,No es categoria
Cultural animators,No es categoria
Businessmen,No es categoria
Argentine Sculpture,Arte
Sculpture,Arte
Technique,No es categoria
Loneliness,No es categoria
"Kafka, Franz, -- 1883-1924.",No es categoria
"Kafka, Franz, -- 1883-1924 -- Diarios íntimos.",Biografía / Autobiografía / Memorias
"Musil, Robert, -- 1880-1942 -- Diaries.",Biografía / Autobiografía / Memorias
"Musil, Robert, -- 1880-1942 -- Diarios íntimos.",Biografía / Autobiografía / Memorias
"Mansfield, Katherine, -- 1888-1923 -- Diaries.",Biografía / Autobiografía / Memorias
"Mansfield, Katherine, -- 1888-1923 -- Diarios íntimos.",Biografía / Autobiografía / Memorias
"Brecht, Bertolt, -- 1898-1956 -- Diaries.",Biografía / Autobiografía / Memorias
"Brecht, Bertolt, -- 1898-1956 -- Diarios íntimos.",Biografía / Autobiografía / Memorias
"Woolf, Virginia, -- 1882-1941 -- Diaries.",Biografía / Autobiografía / Memorias
"Woolf, Virginia, -- 1882-1941 -- Diarios íntimos.",Biografía / Autobiografía / Memorias
"Jünger, Ernst, -- 1895-  -- Diaries.",Biografía / Autobiografía / Memorias
"Jünger, Ernst, -- 1895-  -- Diarios íntimos.",Biografía / Autobiografía / Memorias
"Cheever, John -- Diaries.",Biografía / Autobiografía / Memorias
"Cheever, John -- Diarios íntimos.",Biografía / Autobiografía / Memorias
"Pavese, Cesare -- Diaries.",Biografía / Autobiografía / Memorias
"Pavese, Cesare -- Diarios íntimos.",Biografía / Autobiografía / Memorias
"Gombrowicz, Witold -- Diaries.",Biografía / Autobiografía / Memorias
"Gombrowicz, Witold -- Diarios íntimos.",Biografía / Autobiografía / Memorias
"Barthes, Roland -- Diaries.",Biografía / Autobiografía / Memorias
"Barthes, Roland -- Diarios íntimos.",Biografía / Autobiografía / Memorias
Diaries -- Authorship.,Literatura / Estudios literarios
Diarios íntimos -- Arte de escribir.,Literatura / Estudios literarios
Diaries -- History and criticism.,Literatura / Estudios literarios
Diarios íntimos -- Historia y crítica.,Literatura / Estudios literarios
Essay,Ensayo
Plays / Drama,Teatro
Child & developmental psychology,Psicología
Group Psychology,Psicología
Psychotherapy - Child & Adolescent,Psicología
Radio programs for gays,Comunicación
Vahído (Radio program),Comunicación
Relay racing,Deportes
"Olympic Games (11th : 1936 : Berlin, Germany)",Deportes
Soccer -- Dictionaries -- Spanish.,Deportes
Soccer -- Argentina -- Dictionaries -- Spanish.,Deportes
Spanish language -- Argentina -- Dictionaries.,Lengua / Lingüística
Agriculture and state,Economía
Strikes and lockouts,No es categoria
Agricultural laborers,No es categoria
Grèves et lock-out,No es categoria
Travailleurs agricoles,No es categoria
Farmers,No es categoria
Soybean industry,Economía
Short stories.,Cuento
Cuentos.,Cuento
Detective and mystery stories.,Ficción
Novela policíaca.,Ficción
Police -- Fiction.,Ficción
Policía -- Ficción.,Ficción
Crime & mystery,Ficción
Modern Painting,Arte
Painting,Arte
American fiction,Novela
American Short stories,Cuento
American Authors,No es categoria
Serie Libros,No es categoria
"Don Quixote (Cervantes Saavedra, Miguel de)",No es categoria
Argentina -- History,Historia
War of Independence (Argentina : 1810-1817) fast (OCoLC)fst01355283,Historia
Indian leadership,No es categoria
Diaguita Indians,No es categoria
Universidad de Buenos Aires,Educación
Presidents' spouses,No es categoria
Wine and wine making,Gastronomía
Viticulture,Gastronomía
Causes,No es categoria
"Perón, Eva, -- 1919-1952 -- Pictorial works",No es categoria
Women in politics -- Argentina,Política
Presidents' spouses -- Argentina,No es categoria
Activity Books,Infantil / Juvenil
Popular Culture - General,Sociología
Popular Culture,Sociología
Biography And Autobiography,Biografía / Autobiografía / Memorias
"Cortázar, Julio.",No es categoria
"Cortázar, Julio (1914-1984)",No es categoria
"Authors, Argentine -- Biography.",Biografía / Autobiografía / Memorias
"Authors, Argentine -- Criticism and interpretation.",Literatura / Estudios literarios
Autores argentinos -- Biografía.,Biografía / Autobiografía / Memorias
Autores argentinos -- Crítica e interpretación.,Literatura / Estudios literarios
Film Criticism,Arte
Performing Arts,Arte
Film & Video - History & Criticism,Arte
Theater - General,Teatro
Genres & Styles - Rock,Arte
"Moreno, Mariano, -- 1778-1811",No es categoria
"Argentina -- History -- War of Independence, 1810-1817",Historia
Genres & Styles - Jazz,Arte
Military intelligence,No es categoria
Armed Forces,No es categoria
Inteligencia militar,No es categoria
Fuerzas armadas,No es categoria
Argentina. Ejército. Batallón de Inteligencia 601,No es categoria
Crime -- Argentina -- Case studies.,No es categoria
"Authors, Latin American -- 20th century.",No es categoria
Latin American literature -- 20th century -- History and criticism.,Literatura / Estudios literarios
"Flaubert, Gustave, -- 1821-1880.",No es categoria
Fiction -- Authorship.,Literatura / Estudios literarios
Novela -- Arte de escribir.,Literatura / Estudios literarios
Fiction -- Technique.,Literatura / Estudios literarios
Novela -- Técnica.,Literatura / Estudios literarios
Love-letters.,No es categoria
Cartas de amor.,No es categoria
Authors -- Correspondence.,Biografía / Autobiografía / Memorias
Autores -- Correspondencia.,Biografía / Autobiografía / Memorias
"Saer, Juan José, -- 1937- -- Criticism and interpretation.",Literatura / Estudios literarios
Writing in literature,Literatura / Estudios literarios
"Self-determination, National",No es categoria
"Scalabrini Ortiz, Raúl, -- 1898-1959 -- Political and social views",Política
Argentina -- Politics and government -- 20th century,Política
Children's Baby - Literature,Infantil / Juvenil
"Schmidel, Ulrich, 1510?-1579?",No es categoria
America -- Discovery and exploration -- Juvenile literature.,Historia
America -- History -- 1535-1617 -- Juvenile literature.,Historia
Automobile industry workers,No es categoria
Employees,No es categoria
"Sindicato de Trabajadores Concord (Córdoba, Argentina)",No es categoria
"Sindicato de Trabajadores de Materfer (Córdoba, Argentina)",No es categoria
Communication -- Political aspects -- Congresses.,Comunicación
Mexican literature -- 20th century.,Literatura / Estudios literarios
"Literature, Experimental -- Mexico.",Literatura / Estudios literarios
Estridentismo (Literary movement),Literatura / Estudios literarios
Spanish Fantasy fiction,Ficción
"Fiction, war & military",Ficción
"Europe, fiction",Ficción
Sports & Recreation,Deportes
Social change -- Latin America,Sociología
Revolutions -- Latin America -- Philosophy,Filosofía
Latin America -- History,Historia
Latin America -- Social conditions,Sociología
"America -- Discovery and exploration -- Spanish -- Centennial celebrations, etc",Historia
Children's 12-Up - Fiction - General,Infantil / Juvenil
Graphic arts,Arte
Prints,Arte
Instituto Torcuato Di Tella,No es categoria
Mass media and culture -- Argentina -- History,Comunicación
Popular culture -- Argentina -- History,Sociología
"Comic books, strips, etc. -- History and criticism -- Addresses, essays, lectures",Ficción
Mass Media - General,Comunicación
"Authors, Argentine$2fast$0(OCoLC)fst00821801",No es categoria
"Bolívar, Simón, 1783-1830 -- Fiction.",Ficción
"Tizón, Héctor -- Interviews.",Biografía / Autobiografía / Memorias
"Authors, Argentine -- 20th century -- Interviews.",Biografía / Autobiografía / Memorias
Fiction - Mystery/ Detective,Ficción
"Parera, Blas, -- b. 1777.",No es categoria
"Clementi, Muzio, -- 1752-1832.",No es categoria
"López y Planes, Vicente, -- 1784-1856.",No es categoria
National songs -- Argentina -- History and criticism.,Arte
"Mujica Lainez, Manuel",No es categoria
Juvenile Fiction / Short Stories,Infantil / Juvenil
"Citibank (New York, N.Y.) -- History -- 20th century.",Economía
Banks and banking -- Argentina -- History -- 20th century.,Economía
Argentina -- Economic conditions -- 1918-,Economía
Argentina -- Economic policy.,Economía
"Ghost stories, Spanish American",Ficción
"Ghost stories, Spanish",Ficción
Spanish American fiction -- 20th century,Novela
Spanish fiction -- 20th century,Novela
Women in literature,No es categoria
Literatura argentina,Literatura / Estudios literarios
Novela argentina,Novela
"Science fiction, Argentine",Ficción
"Short stories, Argentine",Cuento
Errors of usage,Lengua / Lingüística
New words,Lengua / Lingüística
Prisoners,No es categoria
Prisons,No es categoria
Sex role,No es categoria
Reference - General,No es categoria
Urban Sociology,Sociología
Urban Land use,No es categoria
Cities and towns,No es categoria
Land use,No es categoria
Positivism,Filosofía
Argentine Experimental fiction,Ficción
Macroeconomics,Economía
Small cities,No es categoria
Books,No es categoria
Livres,No es categoria
Recensions,No es categoria
Littérature,Literatura / Estudios literarios
Love & Romance,Ficción
Philosophy (General),Filosofía
Tecnología y civilización,Tecnología
Technology and civilization,Tecnología
"Tragic, The",No es categoria
"Sabato, Ernesto R",No es categoria
"Sâabato, Ernesto",No es categoria
"Tragic, The, in art",Arte
"Sábato, Ernesto R",No es categoria
"Anthologie, Conte, Amérique espagnol, 1952-1977",Cuento
Nouvelles hispano-américaines,Cuento
Anthologies,No es categoria
Nouvelle hispano-américaine,Cuento
Poesía argentina,Poesía
Poets.,No es categoria
Authors.,No es categoria
Artists.,No es categoria
"Gelman, Juan, 1930- -- Exile -- Italy -- Rome.",No es categoria
"Bayer, Osvaldo -- Exile -- Germany (West)",No es categoria
"Authors, Exiled -- Italy -- Rome -- Biography.",Biografía / Autobiografía / Memorias
"Authors, Exiled -- Germany (West) -- Biography.",Biografía / Autobiografía / Memorias
Political refugees -- Argentina -- Biography.,Biografía / Autobiografía / Memorias
Individual Photographers And Their Work,Arte
"Artists, Architects, Photographers",Arte
Individual Photographer,Arte
Photography / Individual Photographer,Arte
Photojournalism,Comunicación
Fantasy - Contemporary,Ficción
Gay,No es categoria
Fiction (fictional works by one author),Ficción
"Puig, Manuel -- Interviews",Biografía / Autobiografía / Memorias
"Authors, Argentine -- 20th century -- Interviews",Biografía / Autobiografía / Memorias
People & Places - General,No es categoria
Formas y generos literarios,Literatura / Estudios literarios
Novelas,Novela
1943-1955,No es categoria
Buenos Aires (Province),No es categoria
Political History,Historia
Government - General,Política
Saints -- Poetry.,Poesía
Cuentos policíacos latinoamericanos.,Cuento
"Dawson, Christopher, -- 1889-1970",No es categoria
Historians -- Great Britain -- Biography,Biografía / Autobiografía / Memorias
"Civilization, Christian",No es categoria
"Civilization, Western",No es categoria
Europe -- Politics and government -- 20th century,Política
Plebiscite,Política
Photographs,No es categoria
Heroes,No es categoria
Dictatorship,No es categoria
Coup d'état (Chile : 1973) fast (OCoLC)fst01352564,Historia
Undercover operations,No es categoria
Chile. Carabineros,No es categoria
Chilean Authors,No es categoria
Chilean Poets,No es categoria
Photography of the nude,Arte
Photography of women,Arte
Chilean poetry,Poesía
Littérature chilienne,Literatura / Estudios literarios
Chilean literature,Literatura / Estudios literarios
Poesías chilenas,Poesía
Handworked Photography,Arte
"Bilbao, Francisco, -- 1823-1865",No es categoria
Latin America -- Politics and government -- 19th century,Política
Sports for children,Deportes
Juegos Nacionales Evita,Deportes
"Insurrection, 1851",Historia
Women and literature,Literatura / Estudios literarios
Valparaíso (Chile) -- History.,Historia
"Molina Ventura, Eduardo",No es categoria
"Molina Ventura, Eduardo -- Criticism and interpretation",Literatura / Estudios literarios
"Poets, Chilean -- 20th century -- Biography",Biografía / Autobiografía / Memorias
Spanish Poets,No es categoria
"Art, Latin American",Arte
Greek Poets,No es categoria
Greek poetry,Poesía
Poetas griegos,No es categoria
Poesías griegas,Poesía
Constitutional law -- Chile.,Derecho
Chileans,No es categoria
Dandyism -- Chile -- History,Historia
Dandies -- Chile -- Social life and customs,No es categoria
Upper class -- Chile -- Social life and customs,No es categoria
"National characteristics, Chilean",No es categoria
Chile -- Social life and customs,Sociología
Widows,No es categoria
Chilean fiction,Novela
Winds,No es categoria
Fear,No es categoria
Reading,No es categoria
Art Chilean -- 20th century.,Arte
"Emar, Juan, -- 1893-1964 -- Correspondence.",Biografía / Autobiografía / Memorias
"Authors, Chilean -- 20th century -- Correspondence.",Biografía / Autobiografía / Memorias
Correspondencia,Biografía / Autobiografía / Memorias
Autores chilenos,No es categoria
Chilean Women authors,No es categoria
Autoras Chilenas,No es categoria
Biografías,Biografía / Autobiografía / Memorias
PERIODISTAS (MUJERES),No es categoria
BIOGRAFIAS,Biografía / Autobiografía / Memorias
Human behavior,No es categoria
Executive power,Política
Chilean Reportage literature,Crónica
Performance artists,No es categoria
Performance art,Arte
Equality,No es categoria
Liberty,No es categoria
Économie politique,Economía
Relaciones humanas,No es categoria
Finance,Economía
Political science -- Latin America.,Política
Political sociology.,Sociología
Chile -- Politics and government -- 20th century.,Política
Fotógrafos,No es categoria
Fotografía,Arte
Asociación de Fotógrafos Independientes (Chile),No es categoria
Documentary photography -- Chile -- History -- 20th century,Arte
Chile -- Politics and government -- 1973- -- Pictorial works,Política
Chile -- Social conditions -- 1970- -- Pictorial works,Sociología
Chilean drama,Teatro
"Lihn, Enrique -- Interviews.",Biografía / Autobiografía / Memorias
"Poets, Chilean -- Interviews.",Biografía / Autobiografía / Memorias
Romance - Contemporary,Ficción
Authors,No es categoria
"Lipschütz, Alejandro, -- 1883-1980 -- Political and social views",Política
Indians of South America -- Chile,No es categoria
Civil-military relations -- Chile -- History.,Historia
Chile -- Politics and government -- 1810-,Política
Chile -- Armed Forces -- Political activity -- History.,Historia
Wars,No es categoria
Bodyguards,No es categoria
"Pérez Zujovic, Edmundo, 1912-1971 -- Assassination -- Fiction.",Ficción
Political violence -- Chile -- Fiction.,Ficción
Chile -- Fiction.,Ficción
POESIAS CHILENAS,Poesía
PROSA CHILENA,Literatura / Estudios literarios
Dramas chilenos,Teatro
"Chile Earthquake, Chile, 2010 (February 27)",Historia
Drinking of alcoholic beverages -- Chile -- Humor,No es categoria
"National characteristics, Chilean -- Humor",No es categoria
Chilean wit and humor,No es categoria
Information superhighway,Tecnología
Tecnología de la información,Tecnología
Sociedad de información,Sociología
Information society,Sociología
Information technology,Tecnología
Supercarretera informática,Tecnología
Bibliographies & Indexes,No es categoria
Europe - Scandinavia,No es categoria
Colonial influence,No es categoria
Tráfico de drogas,No es categoria
Press coverage,Comunicación
Cobertura periodística,Comunicación
Cattle trade -- Argentina.,Economía
"Meneses, Juan Pablo. -- Journeys.",Viajes
Voyages and travels.,Viajes
"Meneses, Juan Pablo -- Blogs",Comunicación
Argentina -- Social life and customs -- 21st century,Sociología
Hogar y escuela,Educación
Educación,Educación
Parent participation,Educación
Academic achievement,Educación
Participación de padres,Educación
Logro académico,Educación
Aprendizaje,Educación
Home and school,Educación
"Millán, Gonzalo, -- 1947- -- Diaries",Biografía / Autobiografía / Memorias
"Authors, Chilean -- 20th century -- Diaries.",Biografía / Autobiografía / Memorias
Philosophers,No es categoria
Chilean Philosophy,Filosofía
Individuality.,No es categoria
Personality.,No es categoria
Chilean Noir fiction,Ficción
"Chile -- History -- Coup d'état, 1973 -- Fiction.",Ficción
Spanish Novel And Short Story,Novela
Men's Adventure,Ficción
Business and politics,Economía
Penta (Firm),No es categoria
Sociedad Química y Minera de Chile,No es categoria
Chili,No es categoria
Enseignement supérieur,Educación
Aspect économique,Economía
Universités,Educación
Collèges,Educación
Aspect politique,Política
Unión Demócrata Independiente (Chile : 1983-1987),Política
Sexual behavior,No es categoria
Sexual abuse victims,No es categoria
Adult child sexual abuse victims,No es categoria
Poésie chilienne,Poesía
"Ledesma, Sociedad Anónima Agrícola Industrial",No es categoria
Chilean Fantasy fiction,Ficción
Literatura costarricense,Literatura / Estudios literarios
Cuentos,Cuento
Skepticism,No es categoria
Literature and history,Literatura / Estudios literarios
Visualization,No es categoria
Collections & anthologies of various literary forms,No es categoria
Literature: Classics,Literatura / Estudios literarios
Angels,No es categoria
Demonology,No es categoria
Ángeles,No es categoria
Demonología,No es categoria
Tales -- Chile.,Cuento
"Authors, Chilean -- 20th century -- Anecdotes.",No es categoria
Santiago (Chile) -- Intellectual life.,No es categoria
Chilean Proverbs,No es categoria
Abuelas,No es categoria
Literatura chilena,Literatura / Estudios literarios
Campesinos,No es categoria
NOVELAS CHILENAS,Novela
"Quezada, Jaime, -- 1942- -- Diaries.",Biografía / Autobiografía / Memorias
"Poets, Chilean -- 20th century -- Diaries.",Biografía / Autobiografía / Memorias
"Chile -- History -- Coup d'état, 1973.",Historia
Chile -- History -- To 1810 -- Biography.,Historia
Chile -- Genealogy.,No es categoria
Chile -- Biography.,Biografía / Autobiografía / Memorias
"War of the Pacific, 1879-1884.",Historia
Chilean Detective and mystery stories,Ficción
Roman chilien,Novela
Écrivains chiliens,No es categoria
Self-Help / Motivational,No es categoria
Proverbs,No es categoria
Proverbios,No es categoria
Latin American National characteristics,No es categoria
"Education, Higher -- Aims and objectives -- Latin America",Educación
Universities and colleges -- Latin America,Educación
"Pinochet Ugarte, Augusto.",No es categoria
Dictatorship -- Latin America -- History -- 20th century.,Historia
Latin America -- Politics and government -- 20th century.,Política
Cryptozoology,No es categoria
Cryptozoologie,No es categoria
NATURE,No es categoria
Dinosaurs & Prehistoric Creatures,No es categoria
"Rodó, José Enrique, -- 1871-1917 -- Influence",No es categoria
Literature and society -- Chile,Literatura / Estudios literarios
Literature and society -- Latin America,Literatura / Estudios literarios
Sociología -- Chile,Sociología
Ensayos chilenos,Ensayo
Chile -- Civilization -- Philosophy,No es categoria
Chile -- Intellectual life -- 21st century,No es categoria
Latin America -- Civilization -- Philosophy,No es categoria
Latin America -- Intellectual life -- 21st century,No es categoria
"Rokha, Winétt de, -- 1894-1951",No es categoria
Opera,Arte
Chilean essays,Ensayo
Prosa chilena,Literatura / Estudios literarios
Gulls,No es categoria
Cats,No es categoria
Flight,No es categoria
Oil spills,No es categoria
Suspense,Ficción
Self-realization,No es categoria
Desastres naturales,No es categoria
Natural disasters,No es categoria
Self-actualization (Psychology),Psicología
Actualización de sí mismo (Psicología),Psicología
"Neruda, Pablo",No es categoria
"Neruda, Pablo, -- 1904-1973,",No es categoria
"Neruda, Pablo,  -- 1904-1973, ",No es categoria
Spanish language books.,No es categoria
Military - General,Historia
History - Military / War,Historia
War & Military,Ficción
Fiction / War,Ficción
Military art and science,Historia
Energy policy,Política
Oral tradition,No es categoria
"Bobbio, Norberto, -- 1909-",No es categoria
"Bobbio, Norberto, -- 1909-2004.",No es categoria
Cientistas políticos -- Italia.,No es categoria
Filosofía del derecho.,Filosofía
Cientístas políticos -- Italia.,No es categoria
Consejo Nacional de la Cultura y las Artes (Chile),No es categoria
Cultural property -- Protection -- Law and legislation -- Chile,Derecho
Chile -- Cultural policy.,Política
Chile -- Intellectual life.,No es categoria
Beverages - Wine & Spirits,No es categoria
Biography & Autobiography / Literary,Biografía / Autobiografía / Memorias
"Huidobro, Vicente, 1893-1948",No es categoria
"Borges, Jorge Luis, -- 1899-1986",No es categoria
"Authors, Argentine -- 20th century -- Biography",Biografía / Autobiografía / Memorias
Autores argentinos -- Siglo XX -- Biografía,Biografía / Autobiografía / Memorias
Chilean Political fiction,Ficción
CUENTOS,Cuento
Suspense fiction,Ficción
Religious fiction,Ficción
"Uribe, Armando -- Interviews.",Biografía / Autobiografía / Memorias
"Vidal, Virginia -- Interviews.",Biografía / Autobiografía / Memorias
"Authors, Chilean -- 20th century -- Interviews.",Biografía / Autobiografía / Memorias
Diplomats -- Chile -- Interviews.,Biografía / Autobiografía / Memorias
"Uribe, Armando.",No es categoria
"Authors, Chilean -- 20th century -- Biography.",Biografía / Autobiografía / Memorias
Diplomats -- Chile -- Biography.,Biografía / Autobiografía / Memorias
Chile -- Poetry.,Poesía
"Erotic poetry, Chilean.",Poesía
Dictadura,No es categoria
Chilean Political poetry,Poesía
Demonstrations,No es categoria
Protest movements,No es categoria
Spanish: Babies & Toddlers,Educación
Kings and rulers,No es categoria
Psychiatric hospital patients,No es categoria
Couples,No es categoria
Psychiatric hospital care,No es categoria
18.33 Spanish-American literature,Literatura / Estudios literarios
Mothers and daughters,No es categoria
Literature -- Philosophy,Literatura / Estudios literarios
Psychiatric hospital care -- Chile -- Putaendo.,No es categoria
Psychiatric hospital patients -- Chile -- Putaendo.,No es categoria
Psychiatric hospital patients -- Pictorial works.,No es categoria
Relations with men,No es categoria
Cartas de amor,No es categoria
Spanish Poetry,Poesía
Elephants,No es categoria
Poaching,No es categoria
Kenya,No es categoria
Politics and literature,Literatura / Estudios literarios
Ambition,No es categoria
