Obra,Relación,Editorial
Crónica de una muerte anunciada,fue_publicado_por,Bruguera
Don Quijote para Siempre,fue_publicado_por,"Santillana USA Publishing Company, Incorporated"
La expresión americana,fue_publicado_por,Brand: Fondo de Cultura Económica
"Max Aub, Francisco Ayala",fue_publicado_por,Biblioteca Valenciana
Dos Vueltas de Martillo,fue_publicado_por,CreateSpace Independent Publishing Platform
Periodismo de Frontera en América Latina,fue_publicado_por,Transcript Verlag
Los periodistas,fue_publicado_por,J. Mortiz
El libro de las misiones,fue_publicado_por,Espasa-Calpe SA
Cleopatra Pérez,fue_publicado_por,Cátedra
"Adiós, Hemingway",fue_publicado_por,Tusquets
Discursos selectos,fue_publicado_por,Editorial del Pacífico
Escrito sobre un cuerpo,fue_publicado_por,Editorial Sudamericana
Cien de las mejores poesías castellanas,fue_publicado_por,Kapelusz
"Cuento de cuentos, y once más",fue_publicado_por,Editorial Extemporáneos
Para una lectura di Nicanor Parra,fue_publicado_por,Secretariado de Publicaciones de la Universidad de Sevilla
Cuestiones estéticas,fue_publicado_por,Ollendorff
Sistema de Entrenamiento Deportivo,fue_publicado_por,CreateSpace Independent Publishing Platform
Juarez intervencionista,fue_publicado_por,Jus
Don de febrero,fue_publicado_por,Gobierno del Estado de Zacatecas
Catulo/Marcial,fue_publicado_por,Ediciones Tácitas
El desarrollo urbano en Colombia,fue_publicado_por,Ediciones Universidad de los Andes
Este Que Ves,fue_publicado_por,Alfaguara
"La Comisión Nacionalista Dominicana en Washington, 1920-1921",fue_publicado_por,La Opinion
Pasiones fronterizas,fue_publicado_por,Consejo Nacional para la Cultura y las Artes
Vestido para la desnudez,fue_publicado_por,Mairena
Diario íntimo de la revolución española,fue_publicado_por,"Instituto de Literatura y Lingüística ""José A. Portuondo Valdor"""
La propiedad intelectual sobre la obra audiovisual,fue_publicado_por,Editorial Comares
Páginas olvidadas,fue_publicado_por,S. Glusberg
Identidades,fue_publicado_por,Editorial Arte y Literatura
El general en su laberinto,fue_publicado_por,Goldmann
La ciudad que recorro,fue_publicado_por,Panfleto y Pantomima
"Cajamarca, historia y paisaje",fue_publicado_por,Minera Yanacocha
La cabeza de la hidra,fue_publicado_por,Librería Editorial Argos
Dos ensayos sobre la ciudad de Veracruz,fue_publicado_por,"Gobierno del Estado de Veracruz, Instituto Veracruzano de Cultura"
Atormentados,fue_publicado_por,Alfaguara
Del amor y otros demonios,fue_publicado_por,LGF
Antología,fue_publicado_por,Editorial Universitaria Centroamericana
A birthday basket for Tía,fue_publicado_por,Maxwell Macmillan Canada
Contar a Cuba,fue_publicado_por,Corporativo V Y T
Geschichten vom lieben Gott,fue_publicado_por,Editorial del Pacífico
Fábulas del Pensador mexicano [i.e. J. J. Fernández de Lizardi],fue_publicado_por,[s.n.]
"La mesocracia de Costa Rica, 1821-1926",fue_publicado_por,Editorial Costa Rica
La hojarasca,fue_publicado_por,Penguin Random House
El palacio de las blanquisimas mofetas,fue_publicado_por,Monte Avila
Julián del Casal o lo pliegues del deseo,fue_publicado_por,Editorial Verbum
... Mujer,fue_publicado_por,[s.n.]
Els viatges d'Ali Bei,fue_publicado_por,Gregg International Publishers]
Fronteras conquistadas,fue_publicado_por,Colegio de México
Kama Nostra,fue_publicado_por,Grijalbo Mondadori Sa
The hook,fue_publicado_por,Warner Books
Adictos a El Crack,fue_publicado_por,Notorious
Todo lo de las focas,fue_publicado_por,Universidad de Guanajuato
El rancho se nos llenó de viejos,fue_publicado_por,Universidad Autónoma de Zacatecas
Skater en la Sombra,fue_publicado_por,Independently Published
Miguel Angel Asturias,fue_publicado_por,Ediciones Era
Globalizacíon y miseria,fue_publicado_por,Editora Corripio
Rashomon and other stories,fue_publicado_por,"Editorial Verbum, S.L."
Julia de Burgos en Santo Domingo,fue_publicado_por,"Editorial Patria, Inc."
Martí y la primera revolución cubana,fue_publicado_por,Centro Editor de América Latina
Lunario Sentimental [microform],fue_publicado_por,Ediciones Centurion
Desde el mar a las alturas,fue_publicado_por,SEPyC
Desde que Dios amanece,fue_publicado_por,Editorial J. Mortiz
El Valor De Elegir,fue_publicado_por,Planeta Columbiana
Amapola y amapola y otras historias,fue_publicado_por,Comunidad de Artistas e Intelectuales de Nayarit (CAIN)
Doña Rosita la soltera,fue_publicado_por,Espasa Calpe
Baltasar,fue_publicado_por,Consejo Nacional de Cultura
Beso Maldito,fue_publicado_por,Independently Published
La bella historia del hambre dominicana,fue_publicado_por,CONES
Pátzcuaro,fue_publicado_por,"Gobierno del Estado de Michoacán, Secretaría de Comunicaciones y Obras Públicas"
Aura,fue_publicado_por,University of Durham
Cuentos escogidos de los mejores autores castellanos contemporáneos,fue_publicado_por,Casa Editorial Garnier Hermanos
La independencia efímera,fue_publicado_por,F. Sorlot
Rebellion der Gehenkten,fue_publicado_por,Liberty Book Club
Cinemanía,fue_publicado_por,Seix Barral
Crónicas y reportajes,fue_publicado_por,Oveja Negra
Literatura española,fue_publicado_por,Antigua librería Robredo
Medio ambiente en Latinoamérica,fue_publicado_por,"Universidad de Chile, Facultad de Ciencias Económicas y Administrativas, Centro de Economía de los Recursos Naturales y el Medio Ambiente"
En tiempos de la sociedad de masas,fue_publicado_por,Taurus
Temas historicos,fue_publicado_por,Editora Alfa & Omega
Vyʼa pope ña aprendé,fue_publicado_por,Arandurã Editorial
La inflación y el desarrollo en la América Latina,fue_publicado_por,"Universidad Nacional Autónoma de México, Escuela Nacional de Economía"
La comedia de la no-intervención en la guerra civil española,fue_publicado_por,G. del Toro : distribuye Servicio Comercial del Libro
La huelga estudiantil en el Recinto de Aguadilla de la Universidad de Puerto Rico,fue_publicado_por,Lulu Enterprises
Gral. Francisco L. Urquizo,fue_publicado_por,Gobierno del Estado de Coahuila
Los desafíos a la sociedad abierta,fue_publicado_por,Fundación Libertad
"Cronología de la Real y Pontificia Universidad de Santo Domingo, 1538-1970",fue_publicado_por,Editora Universitaria
Mis buenos tiempos,fue_publicado_por,Editorial Letras Cubanas
Edipo rey,fue_publicado_por,Arca
Diarios de Motocicleta,fue_publicado_por,Harper Collins
El general en su laberinto,fue_publicado_por,Editora Record
Oficio de leer,fue_publicado_por,Fondo de Cultura Económica
Encender una luz,fue_publicado_por,Editorial Oceano de Mexico
El angel del espejo y otros relatos,fue_publicado_por,Bibioteca Ayacucho
Crónica de una muerte anunciada,fue_publicado_por,Mondadori
The Five Chinese Brothers,fue_publicado_por,Suiʾunsha
"Por mi madre, bohemios",fue_publicado_por,LaJornada Ediciones
Historia de vecinos y otras historias,fue_publicado_por,Monte Avila Editores Latinoamericana
Novelas y cuentos de juventud,fue_publicado_por,"Centre de recherches de l'Institut d'études hispaniques, 31, rue Gay-Lussac"
La transición invisible,fue_publicado_por,Oceano De Mexico
Diálogos frente al año 2000,fue_publicado_por,B. Costa-Amic
Pensar la vivienda,fue_publicado_por,Talasa Ediciones
Mariposa monarca,fue_publicado_por,Centro de Información y Desarrollo de la Comunicación y la Literatura Infantiles
Historia moderna de la etnicidad en Guatemala,fue_publicado_por,"Universidad Rafael Landívar, Instituto de Investigaciones Económicas y Sociales"
La revolución guatemalteca,fue_publicado_por,Cuadernos Americanos
Narcotráfico,fue_publicado_por,M.A. Porrúa
En la muerte de Ernesto Che Guevara,fue_publicado_por,Colección Sur editores
Il Combattimento Spirituale,fue_publicado_por,presso Guglielmo Facciotto
José Revueltas,fue_publicado_por,Consejo Nacional de Recursos para la Atención de la Juventud
Desierto en fuga,fue_publicado_por,Centro Cultura Tijuana
Mariana Pineda,fue_publicado_por,Catedra
Café orgánico =,fue_publicado_por,Unión Majomut
Colesterol y Aterosclerosis,fue_publicado_por,Ecsa
Diccionario de refranes,fue_publicado_por,Banco Central de la República Dominicana
La clave,fue_publicado_por,Editorial Letras Cubanas
Estudios de derecho penal económico,fue_publicado_por,"Universidad Colegio Mayor de Nuestra Señora del Rosario, Facultad de Jurisprudencia"
Instinto de Inez,fue_publicado_por,Alfaguara
Bu mu'yuk jloktor,fue_publicado_por,Macmillan Press
Don de febrero,fue_publicado_por,Universidad Autónoma de Zacatecas
Poesías escogidas,fue_publicado_por,Agencia General de Libreria y Publicaciones
"Poemas masoquistas, de rechazo, venganza, tanáticos y eróticos del ""Cancionero del siglo XV"" (Brian Dutton)",fue_publicado_por,Frente De Afirmación Hispanista
El Velero de Cristal,fue_publicado_por,El Ateneo
Narrativa completa,fue_publicado_por,Alfaguara
Der Schatz der Sierra Madre,fue_publicado_por,Sayrols/Mexico
"Buenos días, Zenón",fue_publicado_por,Unión
"Sus mejores poesías, elegías",fue_publicado_por,Sociedad española de libreria
Alejo Carpentier Un Siglo Entre Luces (R),fue_publicado_por,Editorial Verbum
El camino de Santiago,fue_publicado_por,Editorial Arte y Literatura
Short stories,fue_publicado_por,Ediciones Alfaguara
Álvaro Obregón y los generales sinaloenses,fue_publicado_por,Instituto La Crónica de Culiacán
Historias para un país inexistente,fue_publicado_por,"H. Ayuntamiento de Culiacán, Dirección de Cultura"
Posdata,fue_publicado_por,Siglo XXI
De civitate Dei,fue_publicado_por,Garnier
Mujeres ante el espejo,fue_publicado_por,Selector
Cuentos de política criolla,fue_publicado_por,Librería Dominicana
La simulación,fue_publicado_por,Monte Avila Editores
Caleidoscopios coloniales,fue_publicado_por,Iberoamericana
Prisma,fue_publicado_por,Alfaguara
Autobiografía armada,fue_publicado_por,Ediciones Corregidor
Premio Nacional de Literatura 1990,fue_publicado_por,Ediciones de la Fundación Corripio
El espacio que habito,fue_publicado_por,Ediciones Presente y Futuro
Cuerpo presente,fue_publicado_por,Ediciones ERA
Pueblo rechazado,fue_publicado_por,[Editorial J. Mortiz]
Nuestra Señora de la Altagracia,fue_publicado_por,[s.n.]
"Artaud, todavía",fue_publicado_por,Fondo de Cultura Económica
Borrador de viaje,fue_publicado_por,Imp. La Prueba
El jurado,fue_publicado_por,[Gonzalez-Casanova (pr.)]
Portuaria,fue_publicado_por,Universidad Autónoma Metropolitana
Poesía,fue_publicado_por,Editorial Letras Cubanas
Prosa política,fue_publicado_por,Impr. Universitaria
Seudónimos dominicanos,fue_publicado_por,Editora Taller
De otra edad que es esta edad,fue_publicado_por,Editorial Patria
Textículos bestiales,fue_publicado_por,Instituto Movilizador de Fondos Cooperativos
Óyeme con los ojos,fue_publicado_por,Universidad Autónoma de Nuevo León
Domingo Del Monte y su tiempo,fue_publicado_por,Ediciones UNION
Humberto,fue_publicado_por,Independently Published
Antología cósmica de Rosamarina García Munive,fue_publicado_por,Frente de Afirmación Hispanista
Centro vacío,fue_publicado_por,Universidad Autónoma de Aguascalientes
Por la libre,fue_publicado_por,Sudamericana
Poesías completas,fue_publicado_por,Editorial Timon
Nuevo León y la colonización del Nuevo Santander,fue_publicado_por,Sección 21 del SNTE
Voces en el umbral,fue_publicado_por,"Dirección de Difusión Cultural, Departamento Editorial"
The night visitor and other stories,fue_publicado_por,Cassell
Cristo,fue_publicado_por,"""Abside,"""
El contrato de transacción,fue_publicado_por,Jurídica Editores
Wings in the Wild (Spanish Edition),fue_publicado_por,Atheneum Books for Young Readers
Revolution #9,fue_publicado_por,Mysterious Pr
La prensa de Trujillo,fue_publicado_por,Impr. de la Ciudad
Historia de la fotografía dominicana,fue_publicado_por,Grupo León Jimenes
El español en Nicaragua,fue_publicado_por,Departamento de Español/UNAN
Maravilla y furor,fue_publicado_por,[J. Mármol?]
A pesar del naufragio,fue_publicado_por,s.n.]
Puros cuentos,fue_publicado_por,Litografía López
La noche de Tlatelolco,fue_publicado_por,Giron Books
Los Municipios de Michoacán,fue_publicado_por,Secretaría de Gobernación
!Casi feliz--!,fue_publicado_por,Editorial Cholsamaj
Biobibliografía de los escritores de San Luis Potosí,fue_publicado_por,Universidad Nacional Autónoma de México
The Bridge in the Jungle,fue_publicado_por,Ullstein
Poemas en prosa,fue_publicado_por,Espasa-Calpe Argentina
De tropeles y tropelias,fue_publicado_por,Editorial Universitaria
Abril del '65,fue_publicado_por,Comisión Permanente de Efemérides Patrias
Sirénidas,fue_publicado_por,Instituto Mexiquense de Cultura
Prosaicos dioses de hoy,fue_publicado_por,La Secta de los Perros
Imitation of Christ,fue_publicado_por,Printed by M. Roberts for D. Brown
"La aventura de Miguel Littín, clandestino en Chile",fue_publicado_por,New York Review Books
Cajeme,fue_publicado_por,Editorial Porrúa
El llano en llamas,fue_publicado_por,Fondo de Cultura Económica
"Biobibliografía, Eusebio Leal Spengler",fue_publicado_por,Ediciones Boloña
Lo mejor de mi obra,fue_publicado_por,Organización Editorial Novaro
Maldito amor y otros cuentos,fue_publicado_por,Fondo de Cultura Económica
Actitudes,fue_publicado_por,Universidad de Guanajuato
Gilberto Owen en Estampa,fue_publicado_por,El Colegio de San Luis
Referencias cruzadas,fue_publicado_por,Ediciones Perro Azul
... Pausa,fue_publicado_por,[Soc. génér. d'impr. et d'édit]
Toda una vida estaría conmigo,fue_publicado_por,Almadia
Malasangre,fue_publicado_por,Editorial Cultural
Asesinato/Assassination,fue_publicado_por,Debolsillo
Las Rosas de la Tarde,fue_publicado_por,Independently Published
"Nazismo, fascismo y falangismo en la República Dominicana",fue_publicado_por,Fundación Cultural Dominicana
"Juárez, el impasible",fue_publicado_por,Espasa-Calpe
España invertebrada,fue_publicado_por,Createspace Independent Publishing Platform
Adictas a la insurgencia,fue_publicado_por,Punto de Lectura
El sentido de las horas,fue_publicado_por,Universidad Autónoma de Chihuahua
Fragmentos a su imán,fue_publicado_por,Biblioteca Era
Sirena en el aula,fue_publicado_por,Instituto Cultural de Aguascalientes
Borges y México,fue_publicado_por,Plaza y Janés
Historias de la gente,fue_publicado_por,Editorial Popular
La Ilustración potosina,fue_publicado_por,"Universidad Nacional Autónoma de México, Instituto de Investigaciones Filológicas"
"La imagen de España en la escultura pública, 1875-1935",fue_publicado_por,Mira Editores
Mer du nord =,fue_publicado_por,Ecrits des Forges
Écue-yamba-ó!,fue_publicado_por,"Instituto Cubano del Libro, Editorial Letras Cubanas"
Polvo de alas de mariposa,fue_publicado_por,Centro de Estudios Martianos
Días de exilio,fue_publicado_por,Taurus
América Central hacia el 2000,fue_publicado_por,FNUAP
Historias de posguerra,fue_publicado_por,V. Pozanco
De civitate Dei,fue_publicado_por,J. M. Dent and co.
Tala,fue_publicado_por,Sur
Verbo proletario,fue_publicado_por,First Book Publishing
A lomo de cuento por Argentina,fue_publicado_por,Vista Higher Learning
Necesidad de cumplir las Leyes de Reforma,fue_publicado_por,Empresas Editoriales
"Primera [-quinta] parte, de la Introduction del symbolo de la fe ..",fue_publicado_por,En la emprenta de Iayme Cendrat
"Catálogo y síntesis de los protocolos del Archivo Municipal de Monterrey, 1796-1801",fue_publicado_por,Administración Municipal de Monterrey
Miguel Hidalgo y Costilla,fue_publicado_por,Instituto Nacional de Antropología e Historia
Enrique Laguerre,fue_publicado_por,Plaza Mayor
"Enrique Gómez Carrillo, cronista y director de publicaciones periódicas",fue_publicado_por,Editorial Oscar de León Palacios
El Ballet,fue_publicado_por,Oriente Editorial
León David,fue_publicado_por,Imago Mundi
Boaco,fue_publicado_por,Tip. Alemana
Oralidad escénica,fue_publicado_por,Ciudad Gótica
La noche le es propicia,fue_publicado_por,Editorial Lumen
Lilus Kikus,fue_publicado_por,Schoenhofsforeign Books Inc
Animal de fondo,fue_publicado_por,Editorial Pleamar
Los empeños de una casa,fue_publicado_por,Ediciones Coyoacan
Obras escogidas,fue_publicado_por,"CASA, Fondo Editorial Casa de las Américas"
Juan Manuel Gálvez,fue_publicado_por,Editorial Iberoamericana
La noche que se cayo la luna (Libro Tigrillo),fue_publicado_por,Groundwood Books
Mrs. Sato's hens,fue_publicado_por,GoodYearBooks
Biblia universitaria,fue_publicado_por,s.n.]
La guerra en Valencia y en el frente de Teruel,fue_publicado_por,F. Torres
Sinfonía concluida y otros cuentos,fue_publicado_por,ha-Ḳibuts ha-meʾuḥad
Corriente alterna,fue_publicado_por,Arcade Publishing
Chac mool y otros cuentos,fue_publicado_por,Salvat Editores
La vida en México en el periodo presidencial de Lázaro Cárdenas,fue_publicado_por,Consejo Nacional para la Cultura y las Artes
Razones y pasiones,fue_publicado_por,Fondo de Cultura Económica
Elegia a Jesus Menendez,fue_publicado_por,Paginas
Muerte coronada,fue_publicado_por,Universidade de Santiago de Compostela
Flor Del Fango,fue_publicado_por,"Creative Media Partners, LLC"
Día tras día,fue_publicado_por,Editorial Pre-Textos
Letra y solfa,fue_publicado_por,Andrea Lilia Esteban de Carpentier
"Don Justo Sierra, su vida, sus ideas y su obra",fue_publicado_por,Universidad Nacional Autónoma de México
Goya e il mondo moderno,fue_publicado_por,Skira
Tiempo sin ausencia,fue_publicado_por,Libros de Centroamérica
En este aire de América,fue_publicado_por,Editorial Cultura
Materia memorable,fue_publicado_por,Universidad Nacional Autónoma de México
Amores Enormes,fue_publicado_por,Gobierno del Estado de Guanajuato
Muertos incómodos,fue_publicado_por,J. Mortiz
Enrique José Varona,fue_publicado_por,Editorial Lex
Xavier Villaurrutia --y mi voz que madura,fue_publicado_por,CONACULTA
Agricultura sustentable,fue_publicado_por,Centro de Estudios Sociales y Ecológicos
El Señor Presidente,fue_publicado_por,"Orion Publishing Group, Limited"
Poesía y revolución,fue_publicado_por,Editorial Edicol
Jugando con estereotipos,fue_publicado_por,Editorial Pliegos
De frente al perfil,fue_publicado_por,El Colegio de Michoacán
El coche musical,fue_publicado_por,Editorial Letras Cubanas
La marimba,fue_publicado_por,Ministerio de Educación Pública
Bitácora médica del doctor Falcón,fue_publicado_por,"Coordinación de Posgrado e Investigación, Universidad La Salle"
Los perdedores,fue_publicado_por,Ediciones El Milagro
Emboscadas,fue_publicado_por,Editorial Hispamer
Literatura,fue_publicado_por,Debate
Los matadores de hormigas (texto radiofónico),fue_publicado_por,Editorial Fundamentos
El sabor de la guaba del Revellín de los Bumbales,fue_publicado_por,[publisher not identified]
Muertos incómodos,fue_publicado_por,akashic books
Los afanes de un historiador,fue_publicado_por,Universidad Autónoma de Baja California
En tiempos de revolución,fue_publicado_por,Universidad Nacional Autónoma de México
El Quijote y Cervantes a través de Alfonso Reyes,fue_publicado_por,Universidad Autónoma de Nuevo León
Maquinaria de Propaganda,fue_publicado_por,MAAT
Pez de vidrio,fue_publicado_por,Iberian Studies Institute
Vida y obra de Gabriela Mistral,fue_publicado_por,Editorial Andina
Traducción: literatura y literalidad,fue_publicado_por,Tusquets Editores
El urbanismo desde la perspectiva del registro de la propiedad,fue_publicado_por,Colegio de Registradores de la Propiedad y Mercantiles de España. Centro de Estudios
Las Fuerzas Extranas Cuentos Fatales,fue_publicado_por,"Espasa Calpe Mexicana, S.A."
"El teatro en 1857 y sus antecedentes, 1855-1856",fue_publicado_por,Instituto de Investigaciones Estéticas
Der Schatz der Sierra Madre,fue_publicado_por,Compañia General de Ediciones
Venezuela bajo el signo del terror,fue_publicado_por,Ediones Centauro
For My Country's Freedom,fue_publicado_por,Arrow
La estación violenta,fue_publicado_por,Fondo de Cultura Económica
De la Nueva España,fue_publicado_por,Espasa-Calpe Argentina
La conjura de Aaron Burr y las primeras tentativas de conquista de México por americanos del Oeste,fue_publicado_por,UNED
"Sesenta años de la reforma universitaria de Córdoba, 1918-1978",fue_publicado_por,Fondo Editorial para el Desarrollo de la Educación Superior
Evocación de Ricardo Lancaster-Jones y Verea,fue_publicado_por,Academia Mexicana de Genealogía y Heráldica
Mujer habitada,fue_publicado_por,Salamandra Publicacions Y Edicions
Libre estética,fue_publicado_por,Sopena
Historia de la universidad en América Latina,fue_publicado_por,Editorial Universitaria Centroamericana
Temporada de ángeles,fue_publicado_por,Bruguera
El engaño a los ojos,fue_publicado_por,Ediciones Juan Ponce de León
El supuesto Casamiento de Almanzor con una hija de Bermudo II,fue_publicado_por,Cruzado
Cromitos cubanos,fue_publicado_por,Editorial Saturnino Calleja
Que Todo Es Possible (Gebara),fue_publicado_por,"Txalaparta Argitaletxea, S.L."
Diarios de Motocicleta,fue_publicado_por,Ted Smart
Obras,fue_publicado_por,Editorial Porrúa
Felipe de Jesús,fue_publicado_por,Ediciones Xochitl
La quinta estación,fue_publicado_por,Letra Maya
Wifredo Lam y su obra vista a través de significados críticos,fue_publicado_por,Publicigraf
Los fantasmas del masajista,fue_publicado_por,Eterna Cadencia
Pájaro rojo,fue_publicado_por,"Departamento Editorial, Universidad Autónoma de Zacatecas"
Sobre Esta Tierra,fue_publicado_por,Fondo de Cultura Economica USA
Politica Para Amador,fue_publicado_por,Ariel
Los albañiles,fue_publicado_por,Editorial Arte y Literatura
. . . Paisaje,fue_publicado_por,Universidad nacional autónoma
Exilio cultural de la guerra civil (1936-1939),fue_publicado_por,Ediciones Universidad Salamanca
Escritos literarios,fue_publicado_por,CONACULTA
El Gobernador Bernardo Reyes,fue_publicado_por,Fondo Editorial de Nuevo León
Odiseo sin patria,fue_publicado_por,Medinaceli
Historia Y Critica De LA Literatura Española Romanticismo Y Realismo,fue_publicado_por,Editorial Crítica
Identidad gráfica de latinoamerica,fue_publicado_por,Editorial Arte y Literatura
Pasionarias,fue_publicado_por,R. Lainé
Cuba y la libertad de expresión e información,fue_publicado_por,Dos Ríos
Sus mejores cuentos y sus mejores cantos,fue_publicado_por,Sociedad Española de Librería
Democracias incompletas,fue_publicado_por,Editorial Cuarto Propio
Las peras del olmo,fue_publicado_por,Impr. Universitaria
"José María López Valdizón, pensamiento y compromiso social",fue_publicado_por,Universidad de San Carlos de Guatemala
Todas íbamos a ser reinas,fue_publicado_por,Quimantú
Como Polvo en el Viento,fue_publicado_por,"Editorial Planeta, S. A."
Hombre peregrino,fue_publicado_por,Brigadas Líricas Lanzadas desde San Rafael
Rastro de América,fue_publicado_por,Instituto Colombiano de Cultura
Una radio entre dos reinos,fue_publicado_por,J. Vergara
Las muchachas de La Habana no tienen temor de Dios--,fue_publicado_por,Almenara
Biblioteca hispanoamericana septentrional,fue_publicado_por,A. Valdes
Guerra En El Paraiso,fue_publicado_por,Joaquin Mortiz Editorial
Abuelos,fue_publicado_por,Groundwood Books
Economía española : estructura y regulacion,fue_publicado_por,Paraninfo
El mundo de la cultura,fue_publicado_por,"Ediciones ""Rumbo"""
Poesía,fue_publicado_por,Letras de México
Constancia,fue_publicado_por,Fondo de Cultura Económica
Cartas,fue_publicado_por,Origenes
Otro modo de ser,fue_publicado_por,[Helvetas]
La creación,fue_publicado_por,Fondo de Cultura Económica
Naturaleza y crisis del poder en Centroamérica,fue_publicado_por,Cidal
El espectador,fue_publicado_por,Espasa-Calpe
"Sonetos (Temes de Consum,)",fue_publicado_por,Biblioteca Nueva
Antes de Dar el Si,fue_publicado_por,Casa Bautista de Publicaciones
El huso y el sexo,fue_publicado_por,"SEP, Cultura"
"Memoria del general Manuel José Arce, primer presidente de Centro América",fue_publicado_por,Dirección de Publicaciones e Impresos
Manos arriba,fue_publicado_por,Grupo Editorial Gaceta
Asombro y desaliento,fue_publicado_por,Fondo de Cultura Económica
"Azaña, intelectual y estadista",fue_publicado_por,"Gobierno de España, Ministerio de la Presidencia, Relaciones con las Cortes y Memoria Democrática"
"Orden jurídico, cultura de la legalidad y educación en México",fue_publicado_por,Gobierno Federal SEGOB
El coronel no tiene quien le escriba,fue_publicado_por,Literatura Random House
El hombre y la gente,fue_publicado_por,Espasa-Calpe
Rb12 el Veganobot,fue_publicado_por,"Lulu Press, Inc."
La cultura jalisciense,fue_publicado_por,H. Ayuntamiento de Guadalajara 1992-1995
Casino uno CIA-Mossad-MI-6,fue_publicado_por,"Casa de la Cultura Ecuatoriana, Benjamin Carrión"
Pagaré a cobrar y otros poemas,fue_publicado_por,Editorial Llibres de Sinera
Juana Inés de la Cruz,fue_publicado_por,Aims Intl Books Corp
Misiones jesuíticas guaraníes,fue_publicado_por,Ministerio de Cultura
... Isla de Puerto Rico,fue_publicado_por,La Verónica
La santería y la brujería de los blancos,fue_publicado_por,Fundación Fernando Ortiz
Las voces de la tierra,fue_publicado_por,Alkibla
Amorosos fantasmas,fue_publicado_por,Joaquín Mortiz
La gran bonanza,fue_publicado_por,Universidad Autónoma de Baja California
Calles asiáticas,fue_publicado_por,Editorial Plus Ultra
Rubén Darío y los mercaderes del templo,fue_publicado_por,Editorial Nova
Indalecio Prieto y el socialismo español,fue_publicado_por,P. Iglesias
El católico preguntón,fue_publicado_por,Grijalbo
Diccionario de las letras nicaragüense,fue_publicado_por,"Biblioteca Nacional Rubén Darío, Ministerio de Cultura"
Choiseul-Praslin en Nicaragua,fue_publicado_por,PAVSA
Canticum Ibericum,fue_publicado_por,Iberoamericana Editorial Vervuert
Mátame y verás,fue_publicado_por,Ediciones Era
Piedra de sol,fue_publicado_por,New Directions
Calibán,fue_publicado_por,Rocinante
Kinchil,fue_publicado_por,[s.n.]
Vidas de cultura y pasión mexicanas,fue_publicado_por,Colegio de México
Jornadas literarias (temas de Puerto Rico),fue_publicado_por,Ediciones Rumbos
Las clases sociales,fue_publicado_por,Porrua
Socialismo casa adentro,fue_publicado_por,Ediciones La Tierra
Antes de Ser Libres,fue_publicado_por,Random House Books for Young Readers
Ciudades generacionales,fue_publicado_por,2017.
Pobrecito poeta que era yo--,fue_publicado_por,Rotpunktverlag
Problemas Resueltos de Maquinas Electricas,fue_publicado_por,Paraninfo
Cartas a mi hermana en La Habana,fue_publicado_por,Severo Sarduy Cultural Foundation
Personas fatales (Fontamara coleccion),fue_publicado_por,Fontamara
Martin Garatuza,fue_publicado_por,M.L. Sanchez
Butcher's Moon,fue_publicado_por,Books on Tape (division of Random House)
La collatio emancipati (Estudios juridicos),fue_publicado_por,Centro de Estudios Registrales de Cataluna
"Revista Azul; el Domingo de el Partido Liberal . T. 1-5; 6 Mayo 1894-11 Oct. 1896. Fundador, Manuel, Gutiérrez Nájera. Administrador, lázaro Pavia",fue_publicado_por,"Creative Media Partners, LLC"
El sistema económico neoliberal,fue_publicado_por,Ediciones EyC
La guerra gaucha,fue_publicado_por,Losada
Memoria de mis putas tristes,fue_publicado_por,Muza
La Balada de Alfonsina Bairan,fue_publicado_por,UNPHU
Reflexiones sobre los canales formales de crédito en Ecuador,fue_publicado_por,Centro de Estudios Monetarios Latinoamericanos
El municipio y su administración,fue_publicado_por,s.n.]
Ayer de hoy,fue_publicado_por,Unión de Escritores y Artistas de Cuba
Imagen y posibilidad,fue_publicado_por,Editorial Letras Cubanas
Gente de Méjico,fue_publicado_por,Ediciones Botas
Las urgencias de un dios,fue_publicado_por,Papel de Poesía
Estampas Dominicanas,fue_publicado_por,Impresora Soto Castillo
Club Constitucion Manuel Estrada Cabrera,fue_publicado_por,"Creative Media Partners, LLC"
El último sordo,fue_publicado_por,Edebé 
Salón de belleza,fue_publicado_por,Ediciones del Equilibrista
Julio Torri y la crítica en los años ochenta,fue_publicado_por,Universidad de Guadalajara
Algunas cosillas de Pito Pérez que se me quedaron en el tintero,fue_publicado_por,[s.n.]
Vidas de iluminación,fue_publicado_por,[J. Arroyo]
Antologia Poetica,fue_publicado_por,Edaf S.A.
Tarija,fue_publicado_por,Centro de Estudios & Proyectos (CEP)
La educación superior y los desafíos del siglo XXI,fue_publicado_por,Fondo Editorial CIRA
"El Mercado Mexicano de Dinero, Capitales y Productos Derivados",fue_publicado_por,Escribano Editores S.A. de C.V.
Cien años de cine en Cuba (1897-1997),fue_publicado_por,Ediciones ICAIC
Los helados invisibles y otras rarezas,fue_publicado_por,SM
La vida de un muerto,fue_publicado_por,Nueva Imagen
Cuatro cuentos por el quinto centenario del descubrimiento de América,fue_publicado_por,[s.n.]
Hay un pais en el mundo,fue_publicado_por,Publ. EMIR
"Los primeros cincuenta años de educación superior en Baja California, 1957-2007",fue_publicado_por,Universidad Autónoma de Baja California
Maria Felix,fue_publicado_por,Ediciones B
Tandis Que la Terre Tourne,fue_publicado_por,Independently Published
